  ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,
3,"lag(jan2016reduc_yellow, 3)",-0.049168005,0.226255551,-0.217311815,0.828022108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 3)",0.02938677,0.08180858,0.359213793,0.719532253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 3)",-0.043000037,0.211954688,-0.202873726,0.83928657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.654820674,0.067594728,54.06961156,4.61E-266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 4)",-0.036871226,0.081455912,-0.452652549,0.650924824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_yellow, 4)",-0.073428644,0.232884083,-0.315301254,0.752617268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 4)",0.013016994,0.060110306,0.216551788,0.828614285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 4)",-0.001952674,0.195393268,-0.009993558,0.992028983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.642745087,0.079821246,45.63628425,2.66E-222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 5)",-0.050013655,0.096675017,-0.517337949,0.605067129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_yellow, 5)",-0.038235245,0.226915155,-0.168500183,0.866233539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 5)",0.009041713,0.039930818,0.226434446,0.820922941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 5)",0.018589313,0.171227933,0.108564721,0.913575701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.647947374,0.10592582,34.43869842,1.33E-158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 6)",-0.041250908,0.12199606,-0.338133116,0.735354098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_yellow, 6)",-0.065843052,0.224475317,-0.293319786,0.769355953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 6)",0.005961387,0.020723047,0.287669407,0.77367642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 6)",0.029717947,0.150874719,0.196971017,0.843901663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.500574986,5.406736338,0.647446956,0.517532974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,jan2016reduc,-0.132797924,0.120660497,-1.100591557,0.27141356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,jan2016reduc_yellow,-0.014039292,0.18920325,-0.074202171,0.940868519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,jan2017reduc,0.023496727,0.078605448,0.29891983,0.765080736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,jan2017reduc_yellow,-0.182298326,0.200166736,-0.91073237,0.362717398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_milk_products_p2012,-0.005918495,0.039723467,-0.148992412,0.881598083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,-6.471779373,9.646177382,-0.67091648,0.502472099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,0.200784893,0.383623447,0.523390565,0.600850956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),6.289106416,6.996950403,0.898835357,0.369017391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lead(jan2016reduc, 1)",-0.140721905,0.119814366,-1.174499435,0.240553023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lead(jan2016reduc_yellow, 1)",0.033840647,0.168728968,0.200562164,0.841093161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lead(jan2017reduc, 1)",0.032436398,0.071291049,0.45498556,0.649246073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lead(jan2017reduc_yellow, 1)",-0.201015687,0.192878156,-1.042190009,0.29764609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_milk_products_p2012,-0.004349813,0.048878495,-0.08899237,0.929110789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,-5.763760822,8.723555976,-0.66071231,0.508991662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-0.122447039,0.488337339,-0.250742733,0.802078969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),4.462533388,7.628342097,0.584993873,0.558721019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lead(jan2016reduc, 2)",-0.100835847,0.110643469,-0.91135833,0.362388164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lead(jan2016reduc_yellow, 2)",0.091758273,0.155818176,0.588880422,0.556111987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lead(jan2017reduc, 2)",0.034631806,0.073522032,0.47103983,0.637743998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lead(jan2017reduc_yellow, 2)",-0.211887282,0.189584616,-1.11763964,0.264065051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_milk_products_p2012,0.018685531,0.052840601,0.353620722,0.7237187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,-1.039545624,11.14109637,-0.0933073,0.925683394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-0.253337127,0.534948971,-0.47357251,0.635937298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),4.293302527,4.363077386,0.98400788,0.325416761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 1)",-0.143251681,0.117116123,-1.223159346,0.221638925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_yellow, 1)",-0.097657356,0.213109647,-0.458249342,0.646900955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 1)",0.042304554,0.083469209,0.506828253,0.612418573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 1)",-0.102540183,0.222395643,-0.461071008,0.644876196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_milk_products_p2012,-0.057752761,0.03483483,-1.657902748,0.097739178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,26.08300977,21.95250265,1.188156548,0.235133386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,0.0586865,0.299449343,0.195981395,0.844675774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),7.819593569,4.28790382,1.823640151,0.068589535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 2)",0.002743904,0.085990797,0.031909279,0.974552572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_yellow, 2)",-0.055970434,0.222612373,-0.251425532,0.801551439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 2)",0.04838667,0.092322091,0.524107176,0.600353082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 2)",-0.074941379,0.23602049,-0.317520647,0.750933662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_milk_products_p2012,0.01315244,0.019108137,0.688316174,0.491458616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,7.891098492,15.9531726,0.494641329,0.62099279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-0.715180719,0.429220833,-1.66623021,0.096069579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),8.275814455,4.869692457,1.699453205,0.089633565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 3)",-0.004912098,0.078244342,-0.062778957,0.949958648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_yellow, 3)",-0.053675635,0.227069582,-0.236384082,0.813196867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 3)",0.036635743,0.083368211,0.439445002,0.660461156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 3)",-0.071096017,0.226526807,-0.313852556,0.753717158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_milk_products_p2012,0.0199752,0.034316556,0.582086386,0.560677128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,6.992276531,12.00979458,0.582214499,0.560590885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-0.814447533,0.76375404,-1.066374108,0.286585365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),7.284074593,5.649934266,1.289231741,0.197701192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 4)",-0.025027803,0.082488338,-0.303410196,0.761658498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_yellow, 4)",-0.080328298,0.233925222,-0.343393062,0.73139567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 4)",0.012287486,0.060302186,0.203765181,0.838590358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 4)",-0.028573126,0.207406566,-0.137763844,0.890462752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_milk_products_p2012,0.025237197,0.032776719,0.769973265,0.441549775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,6.078913053,10.74743659,0.565615159,0.571818713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-0.743510765,0.858888045,-0.865666684,0.386940179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),4.601621235,5.113632157,0.899873337,0.368466821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 5)",-0.043525091,0.097412293,-0.446813124,0.655134665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_yellow, 5)",-0.044494347,0.227787218,-0.195332942,0.845183442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 5)",-0.017445429,0.054229755,-0.321694777,0.747770568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 5)",-0.004524993,0.183514364,-0.024657434,0.980334547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_milk_products_p2012,0.04842016,0.054757516,0.884265107,0.376827005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,3.852250945,9.512474491,0.404968334,0.685612397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-0.654661725,0.889885878,-0.735669304,0.46215427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),5.793704629,8.0491818,0.71978802,0.471872528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 6)",-0.043008933,0.121193484,-0.354878263,0.722777343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_yellow, 6)",-0.069234078,0.225196612,-0.307438364,0.758592327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 6)",-0.015815516,0.025900482,-0.6106263,0.541626034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 6)",0.004793054,0.159492398,0.030051929,0.976033376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_milk_products_p2012,0.044297809,0.026317852,1.683184781,0.092742069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,3.697479375,9.471765754,0.390368541,0.696371318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-0.734701263,0.979592356,-0.750007142,0.453478021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
